name,brand,price,old_price
"Cablu lightning Tellur TLL155324, Lightning, USB-A, LED, Negru",Tellur,29.9,
"Cablu micro USB Tellur TLL155304, Micro-USB, USB-A, LED, 2 metri, Negru",Tellur,27.9,
"Cablu tip C Tellur TLL155314, Type-C, USB-A, LED ,2 metri, Negru",Tellur,29.9,
Ecran de proiectare pentru telefoane mobile Logic,Logic,69.9,
"Smartphone Allview A20 Max, Dual SIM, 16GB, 3G, Blue",Allview,349.9,
"Statie de incarcare multifunctionala Logic DS100, wireless, microUSB, Lightning, Negru",Logic,89.9,
"Suport de telefon pentru bicicleta Tellur BPH100, 4 - 6.5 inch,  Negru",Tellur,51.9,
"Tableta Huawei Matepad T10, WiFi, ecran 9.7, 32 GB, 2 GB RAM, 5100 mAh, Albastru ",Huawei,679.9,
"Casti bluetooth in-ear TCL Neckband SOCL300, Albastru",TCL,199.9,
"Casti bluetooth in-ear TCL Neckband SOCL300, Negru",TCL,199.9,
"Casti in-ear TCL SOCL300, cu fir, microfon, buton de raspuns, Orange",TCL,56.9,
"Casti in-ear TCL SOCL200, cu fir, microfon, buton de raspuns, Orange",TCL,56.9,
Baterie externa 4000 mAh + ventilator Platinet PRDF6107,PLATINET,62.9,
Baterie externa 1000 mAh Platinet PMPB11LW Leather White,PLATINET,81.9,
Baterie externa 1000 mAh Platinet PMPB11LB Leather Black,PLATINET,81.9,
Baterie externa 10000 mAh Platinet PMPB10WCS Dual wireless Silver,PLATINET,179.9,
Baterie externa 10000 mAh Platinet PMPB10QIB Qi wireless Silver,PLATINET,141.9,
Baterie externa 10000 mAh Platinet PMPB10WCB Dual wireless Black,PLATINET,179.9,
Baterie externa 10000 mAh Platinet PMPB10QB Wireless Black,PLATINET,104.9,
